"2016-11-20 16:53:43,860",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),R1 correct,R1 wrong bits,R2 correct,R2 wrong bits
"2016-11-20 16:55:16,376",,,,,,,,LinAlgError occured: Skipping this run,,,,,,,,
"2016-11-20 16:55:19,406",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,2,56,6,34
"2016-11-20 16:55:22,571",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,92,17,20
"2016-11-20 16:55:26,540",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,4,57,9,35
"2016-11-20 16:55:30,655",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,79,18,18
"2016-11-20 16:55:34,074",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,109,13,27
"2016-11-20 16:55:37,341",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,133,3,50
"2016-11-20 16:55:41,003",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,2,92,14,25
"2016-11-20 16:55:44,314",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,141,4,72
"2016-11-20 16:55:48,120",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,123,9,37
"2016-11-20 16:55:51,269",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,68,13,28
"2016-11-20 16:55:54,777",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,126,8,62
"2016-11-20 16:55:58,199",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,84,17,17
"2016-11-20 16:56:01,538",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,87,12,25
"2016-11-20 16:56:05,063",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,102,18,24
"2016-11-20 16:56:08,210",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,75,17,21
"2016-11-20 16:56:11,959",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,129,9,34
"2016-11-20 16:56:15,263",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,86,10,29
"2016-11-20 16:56:18,667",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,126,2,66
"2016-11-20 16:56:22,107",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,6,39,11,25
"2016-11-20 16:56:25,614",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,94,7,36
"2016-11-20 16:56:29,276",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,128,6,45
"2016-11-20 16:56:32,410",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,119,3,74
"2016-11-20 16:56:36,386",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,101,9,33
"2016-11-20 16:56:39,449",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,125,8,45
"2016-11-20 16:56:42,991",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,107,4,48
"2016-11-20 16:56:46,230",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,90,18,18
"2016-11-20 16:56:49,394",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,5,49,13,28
"2016-11-20 16:56:52,333",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,125,11,38
"2016-11-20 16:56:55,532",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,123,11,42
"2016-11-20 16:56:59,932",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,150,7,63
"2016-11-20 16:57:03,591",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,124,4,58
"2016-11-20 16:57:06,775",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,101,17,20
"2016-11-20 16:57:09,948",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,144,1,78
"2016-11-20 16:57:13,348",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,95,11,26
"2016-11-20 16:57:16,621",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,116,10,44
"2016-11-20 16:57:20,116",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,119,2,62
"2016-11-20 16:57:23,174",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,98,15,20
"2016-11-20 16:57:26,503",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,3,78,17,22
"2016-11-20 16:57:29,965",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,4,53,14,22
"2016-11-20 16:57:33,328",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,2,97,13,26
"2016-11-20 16:57:36,982",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,2,59,16,19
"2016-11-20 16:57:40,076",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,3,75,14,19
"2016-11-20 16:57:43,579",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,127,4,46
"2016-11-20 16:57:46,913",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,132,4,64
"2016-11-20 16:57:50,494",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,5,42,6,37
"2016-11-20 16:57:53,933",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,96,4,46
"2016-11-20 16:57:57,114",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,111,10,37
"2016-11-20 16:58:00,728",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,81,9,35
"2016-11-20 16:58:03,922",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,98,11,35
"2016-11-20 16:58:07,411",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,86,13,24
"2016-11-20 16:58:10,721",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,123,9,36
"2016-11-20 16:58:14,306",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,3,70,19,17
"2016-11-20 16:58:17,699",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,87,10,36
"2016-11-20 16:58:20,713",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,99,11,34
"2016-11-20 16:58:24,443",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,105,5,56
"2016-11-20 16:58:27,716",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,92,17,22
"2016-11-20 16:58:31,335",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,82,8,32
"2016-11-20 16:58:34,608",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,4,55,15,24
"2016-11-20 16:58:38,098",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,145,6,65
"2016-11-20 16:58:41,848",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,2,82,16,19
"2016-11-20 16:58:44,992",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,131,4,53
"2016-11-20 16:58:48,297",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,132,9,61
"2016-11-20 16:58:51,591",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,105,12,33
"2016-11-20 16:58:54,875",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,102,5,48
"2016-11-20 16:58:58,597",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,110,13,24
"2016-11-20 16:59:01,990",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,100,11,28
"2016-11-20 16:59:05,409",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,96,9,34
"2016-11-20 16:59:08,354",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,121,3,69
"2016-11-20 16:59:11,926",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,3,47,10,36
"2016-11-20 16:59:15,114",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,121,5,43
"2016-11-20 16:59:18,709",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,92,15,19
"2016-11-20 16:59:22,044",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,92,11,31
"2016-11-20 16:59:25,390",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,75,14,29
"2016-11-20 16:59:28,842",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,109,10,45
"2016-11-20 16:59:31,944",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,105,9,37
"2016-11-20 16:59:35,677",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,114,11,39
"2016-11-20 16:59:38,802",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,126,3,54
"2016-11-20 16:59:42,550",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,99,10,30
"2016-11-20 16:59:46,002",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,94,8,38
"2016-11-20 16:59:49,481",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,90,13,31
"2016-11-20 16:59:53,310",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,111,9,35
"2016-11-20 16:59:56,453",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,2,83,13,34
"2016-11-20 16:59:59,989",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,141,7,55
"2016-11-20 17:00:03,224",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,145,2,87
"2016-11-20 17:00:06,638",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,79,14,26
"2016-11-20 17:00:10,232",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,120,6,38
"2016-11-20 17:00:13,607",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,125,6,51
"2016-11-20 17:00:17,133",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,114,13,36
"2016-11-20 17:00:20,222",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,4,65,17,20
"2016-11-20 17:00:23,687",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,127,9,45
"2016-11-20 17:00:26,874",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,111,8,39
"2016-11-20 17:00:30,248",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,116,9,36
"2016-11-20 17:00:33,742",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,110,7,44
"2016-11-20 17:00:36,800",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,77,11,29
"2016-11-20 17:00:40,476",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,128,5,66
"2016-11-20 17:00:43,754",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,143,3,65
"2016-11-20 17:00:47,185",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,115,8,43
"2016-11-20 17:00:50,363",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,148,3,64
"2016-11-20 17:00:53,631",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,106,14,23
"2016-11-20 17:00:57,104",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,143,2,73
"2016-11-20 17:01:00,010",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,107,8,40
"2016-11-20 17:01:03,134",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,105,12,39
"2016-11-20 17:01:06,498",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,90,15,21
"2016-11-20 17:01:09,871",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,139,9,43
"2016-11-20 17:01:13,375",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,2,55,5,44
"2016-11-20 17:01:16,539",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,95,18,18
"2016-11-20 17:01:20,087",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,2,69,13,24
"2016-11-20 17:01:23,112",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,102,6,50
"2016-11-20 17:01:26,350",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,2,63,14,22
"2016-11-20 17:01:29,792",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,8,36,10,28
"2016-11-20 17:01:33,231",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,89,11,30
"2016-11-20 17:01:36,800",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,124,3,50
"2016-11-20 17:01:39,866",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,93,8,48
"2016-11-20 17:01:43,445",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,119,8,37
"2016-11-20 17:01:46,673",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,84,12,29
"2016-11-20 17:01:50,185",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,120,4,50
"2016-11-20 17:01:53,503",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,134,4,59
"2016-11-20 17:01:56,536",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,92,9,43
"2016-11-20 17:01:59,965",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,91,10,34
"2016-11-20 17:02:03,479",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,91,5,41
"2016-11-20 17:02:07,013",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,137,7,42
"2016-11-20 17:02:10,212",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,107,5,50
"2016-11-20 17:02:13,514",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,3,59,8,33
"2016-11-20 17:02:17,090",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,140,4,68
"2016-11-20 17:02:20,361",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,117,8,38
"2016-11-20 17:02:23,742",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,94,13,25
"2016-11-20 17:02:27,182",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,123,7,64
"2016-11-20 17:02:30,595",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,111,9,49
"2016-11-20 17:02:33,965",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,117,5,49
"2016-11-20 17:02:37,135",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,104,10,28
"2016-11-20 17:02:40,327",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,110,6,60
"2016-11-20 17:02:43,472",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,3,57,11,36
"2016-11-20 17:02:47,965",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,110,7,52
"2016-11-20 17:02:51,677",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,114,9,38
"2016-11-20 17:02:54,916",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,75,11,24
"2016-11-20 17:02:58,021",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,84,12,28
"2016-11-20 17:03:01,310",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,109,5,41
"2016-11-20 17:03:04,601",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,134,4,73
"2016-11-20 17:03:08,146",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,7,42,12,26
"2016-11-20 17:03:11,205",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,98,15,21
"2016-11-20 17:03:14,767",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,94,9,35
"2016-11-20 17:03:18,165",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,4,51,12,27
"2016-11-20 17:03:21,384",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,99,5,53
"2016-11-20 17:03:24,324",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,87,14,23
"2016-11-20 17:03:27,499",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,3,68,18,17
"2016-11-20 17:03:32,413",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,92,9,37
"2016-11-20 17:03:35,786",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,124,6,46
"2016-11-20 17:03:38,949",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,113,11,27
"2016-11-20 17:03:42,481",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,108,12,30
"2016-11-20 17:03:45,923",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,113,12,28
"2016-11-20 17:03:48,967",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,139,0,82
"2016-11-20 17:03:52,670",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,111,10,39
"2016-11-20 17:03:56,068",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,87,13,27
"2016-11-20 17:03:59,393",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,107,8,37
"2016-11-20 17:04:02,931",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,109,9,36
"2016-11-20 17:04:06,453",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,116,8,47
"2016-11-20 17:04:09,850",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,123,12,35
"2016-11-20 17:04:12,909",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,123,13,36
"2016-11-20 17:04:16,589",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,128,5,53
"2016-11-20 17:04:19,848",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,95,10,34
"2016-11-20 17:04:22,779",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,2,108,10,43
"2016-11-20 17:04:26,148",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,2,84,16,23
"2016-11-20 17:04:29,248",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,113,7,46
"2016-11-20 17:04:33,889",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,107,9,37
"2016-11-20 17:04:37,264",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,141,1,80
"2016-11-20 17:04:40,301",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,101,10,43
"2016-11-20 17:04:43,797",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,7,50,6,50
"2016-11-20 17:04:47,365",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,107,7,35
"2016-11-20 17:04:51,217",,,,,,,,LinAlgError occured: Skipping this run,,,,,,,,
"2016-11-20 17:04:54,840",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,103,12,32
"2016-11-20 17:04:58,119",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,98,10,31
"2016-11-20 17:05:01,590",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,95,6,49
"2016-11-20 17:05:04,702",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,126,7,54
"2016-11-20 17:05:08,388",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,2,74,14,27
"2016-11-20 17:05:11,679",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,3,64,18,19
"2016-11-20 17:05:15,181",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,106,8,34
"2016-11-20 17:05:18,695",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,94,11,35
"2016-11-20 17:05:21,918",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,118,4,59
"2016-11-20 17:05:25,430",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,131,3,62
"2016-11-20 17:05:28,681",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,77,10,32
"2016-11-20 17:05:32,587",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,141,6,53
"2016-11-20 17:05:35,870",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,124,6,43
"2016-11-20 17:05:39,427",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,106,8,40
"2016-11-20 17:05:42,779",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,109,12,29
"2016-11-20 17:05:46,194",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,109,10,41
"2016-11-20 17:05:49,662",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,113,7,45
"2016-11-20 17:05:52,757",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,143,4,68
"2016-11-20 17:05:56,416",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,86,16,20
"2016-11-20 17:05:59,557",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,4,49,9,35
"2016-11-20 17:06:02,893",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,90,12,27
"2016-11-20 17:06:06,050",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,106,8,36
"2016-11-20 17:06:09,399",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,2,69,16,19
"2016-11-20 17:06:13,895",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,3,75,16,22
"2016-11-20 17:06:17,496",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,158,1,79
"2016-11-20 17:06:20,666",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,88,11,24
"2016-11-20 17:06:23,958",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,119,6,70
"2016-11-20 17:06:27,027",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,110,7,36
"2016-11-20 17:06:30,017",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,6,44,9,34
"2016-11-20 17:06:33,680",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,96,15,25
"2016-11-20 17:06:36,910",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,8,46,7,37
"2016-11-20 17:06:40,440",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,114,10,29
"2016-11-20 17:06:43,679",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,115,12,29
"2016-11-20 17:06:46,785",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,115,11,32
"2016-11-20 17:06:49,700",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,136,6,49
"2016-11-20 17:06:52,869",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,11,31,15,23
"2016-11-20 17:06:57,592",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,112,9,48
"2016-11-20 17:07:01,399",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,104,9,36
"2016-11-20 17:07:04,230",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,2,82,12,26
"2016-11-20 17:07:07,938",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,2,62,4,49
"2016-11-20 17:07:11,416",,,,,,,,LinAlgError occured: Skipping this run,,,,,,,,
"2016-11-20 17:07:14,795",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,103,11,32
"2016-11-20 17:07:18,089",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,111,4,59
"2016-11-20 17:07:21,222",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,117,13,31
"2016-11-20 17:07:24,939",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,112,9,35
"2016-11-20 17:07:28,259",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,88,15,19
"2016-11-20 17:07:31,645",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,109,5,38
"2016-11-20 17:07:34,963",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,4,61,18,22
"2016-11-20 17:07:38,349",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,105,8,37
"2016-11-20 17:07:41,765",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,104,6,48
"2016-11-20 17:07:44,888",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,115,11,26
"2016-11-20 17:07:48,700",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,4,96,6,57
"2016-11-20 17:07:51,941",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,104,9,40
"2016-11-20 17:07:55,494",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,100,6,36
"2016-11-20 17:07:58,848",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,89,11,22
"2016-11-20 17:08:01,767",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,5,48,5,42
"2016-11-20 17:08:05,459",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,113,4,49
"2016-11-20 17:08:08,712",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,112,14,26
"2016-11-20 17:08:12,294",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,111,6,45
"2016-11-20 17:08:15,493",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,85,12,29
"2016-11-20 17:08:18,725",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,139,4,50
"2016-11-20 17:08:21,694",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,129,3,53
"2016-11-20 17:08:24,830",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,110,11,36
"2016-11-20 17:08:29,441",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,3,64,20,13
"2016-11-20 17:08:33,033",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,3,62,8,39
"2016-11-20 17:08:36,244",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,119,8,38
"2016-11-20 17:08:39,649",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,70,14,22
"2016-11-20 17:08:42,847",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,119,11,31
"2016-11-20 17:08:45,626",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,123,5,43
"2016-11-20 17:08:49,248",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,61,5,44
"2016-11-20 17:08:52,282",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,89,12,34
"2016-11-20 17:08:55,875",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,100,7,42
"2016-11-20 17:08:59,251",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,113,8,40
"2016-11-20 17:09:02,488",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,109,7,44
"2016-11-20 17:09:05,437",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,125,6,57
"2016-11-20 17:09:08,281",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,97,10,32
"2016-11-20 17:09:12,920",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,98,9,40
"2016-11-20 17:09:16,657",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,130,5,49
"2016-11-20 17:09:19,861",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,113,12,32
"2016-11-20 17:09:23,274",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,119,6,53
"2016-11-20 17:09:26,682",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,4,64,18,14
"2016-11-20 17:09:29,854",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,75,12,28
"2016-11-20 17:09:33,468",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,117,8,40
"2016-11-20 17:09:36,672",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,3,60,16,19
"2016-11-20 17:09:40,055",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,1,116,9,35
"2016-11-20 17:09:43,244",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,106,15,19
"2016-11-20 17:09:46,341",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,105,7,36
"2016-11-20 17:09:50,011",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,8,34,11,29
"2016-11-20 17:09:53,212",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,162,0,94
"2016-11-20 17:09:56,762",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,99,3,46
"2016-11-20 17:09:59,897",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,71,17,19
"2016-11-20 17:10:03,300",2,4,62,4,40,40,True,LinearRegression,32,32,200,0,0,145,3,64
